name,color,top,left,font_size,R,G,B,cluster,cluster_name
volksmusik,#9d880c,0.4648093171957068,0.436,102,0.615686274509804,0.5333333333333333,0.047058823529411764,1,pop
neue neue deutsche welle,#9d8f44,0.21292532541676182,0.5246666666666666,102,0.615686274509804,0.5607843137254902,0.26666666666666666,13,edm
swedish indie rock,#b27b2e,0.3932861383877598,0.25333333333333335,102,0.6980392156862745,0.4823529411764706,0.1803921568627451,5,rock
chicago hardcore,#e24d3f,0.40278602420643983,0.182,102,0.8862745098039215,0.30196078431372547,0.24705882352941178,6,modern rock
brazilian punk,#dd561a,0.3905001141813199,0.2613333333333333,102,0.8666666666666667,0.33725490196078434,0.10196078431372549,6,modern rock
prog metal,#b67b23,0.3277003882164878,0.18466666666666667,102,0.7137254901960784,0.4823529411764706,0.13725490196078433,6,modern rock
kiwi rock,#b07a2b,0.32263073761132677,0.32666666666666666,102,0.6901960784313725,0.47843137254901963,0.16862745098039217,5,rock
russian electronic,#a18fa0,0.1599908654944051,0.6206666666666667,102,0.6313725490196078,0.5607843137254902,0.6274509803921569,2,deep house
qawwali,#a6770c,0.6533911852021009,0.5186666666666667,102,0.6509803921568628,0.4666666666666667,0.047058823529411764,8,musica mexicana
classic turkish pop,#818a0e,0.6800182690111898,0.37133333333333335,102,0.5058823529411764,0.5411764705882353,0.054901960784313725,11,classic rock
classic israeli pop,#818f0b,0.5819136789221283,0.45,102,0.5058823529411764,0.5607843137254902,0.043137254901960784,11,classic rock
pop worship,#8d9108,0.3876227449189313,0.19333333333333333,102,0.5529411764705883,0.5686274509803921,0.03137254901960784,5,rock
minimal tech house,#ae91c7,0.027083809088833066,0.9213333333333333,102,0.6823529411764706,0.5686274509803921,0.7803921568627451,2,deep house
portland hip hop,#9e8419,0.46316510618862755,0.6706666666666666,102,0.6196078431372549,0.5176470588235295,0.09803921568627451,8,musica mexicana
study beats,#669dbe,0.5599451929664306,0.72,102,0.4,0.615686274509804,0.7450980392156863,10,lo-fi beats
canzone napoletana,#609812,0.7902260790134734,0.35,102,0.3764705882352941,0.596078431372549,0.07058823529411765,11,classic rock
celtic punk,#ce6b11,0.3585293445992236,0.24266666666666667,102,0.807843137254902,0.4196078431372549,0.06666666666666667,6,modern rock
brutal death metal,#eb3885,0.46188627540534366,0.114,102,0.9215686274509803,0.2196078431372549,0.5215686274509804,12,rain
boston indie,#9b822f,0.4863210778716602,0.296,102,0.6078431372549019,0.5098039215686274,0.1843137254901961,5,rock
russian drill,#a39608,0.20767298469970313,0.7286666666666667,102,0.6392156862745098,0.5882352941176471,0.03137254901960784,7,dance pop
uk house,#c5818d,0.0648549897236812,0.798,102,0.7725490196078432,0.5058823529411764,0.5529411764705883,2,deep house
british indie rock,#c67114,0.3079698561315369,0.27266666666666667,102,0.7764705882352941,0.44313725490196076,0.0784313725490196,6,modern rock
deep latin christian,#75980d,0.558255309431377,0.48133333333333334,102,0.4588235294117647,0.596078431372549,0.050980392156862744,11,classic rock
midwest emo,#b7742f,0.43334094542132906,0.23,102,0.7176470588235294,0.4549019607843137,0.1843137254901961,5,rock
kizomba,#af9417,0.13701758392327015,0.676,102,0.6862745098039216,0.5803921568627451,0.09019607843137255,7,dance pop
german alternative rock,#c67017,0.21676181776661338,0.2906666666666667,102,0.7764705882352941,0.4392156862745098,0.09019607843137255,6,modern rock
